index	genome	identifier	file	clip	scale	sum_stat	description
52	1	ENCFF683ADK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF683ADK.bigWig	32	2	mean	ATAC-seq::GM19328
53	1	ENCFF301CMS	/home/suncz/work/s02/Encode_epigenome/data/ENCFF301CMS.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
54	1	ENCFF346AYM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF346AYM.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
55	1	ENCFF806NJW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF806NJW.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
56	1	ENCFF648JOD	/home/suncz/work/s02/Encode_epigenome/data/ENCFF648JOD.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
57	1	ENCFF414YSO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF414YSO.bigWig	32	2	mean	ATAC-seq::GM18519
58	1	ENCFF283AUC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF283AUC.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
59	1	ENCFF820OSF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF820OSF.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
60	1	ENCFF347AAR	/home/suncz/work/s02/Encode_epigenome/data/ENCFF347AAR.bigWig	32	2	mean	ATAC-seq::GM21360
61	1	ENCFF513JVK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF513JVK.bigWig	32	2	mean	ATAC-seq::HG03378
62	1	ENCFF650GDO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF650GDO.bigWig	32	2	mean	ATAC-seq::GM21381
63	1	ENCFF889HVG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF889HVG.bigWig	32	2	mean	ATAC-seq::HG02798
64	1	ENCFF443FOA	/home/suncz/work/s02/Encode_epigenome/data/ENCFF443FOA.bigWig	32	2	mean	ATAC-seq::GM19324
65	1	ENCFF761TNP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF761TNP.bigWig	32	2	mean	ChIP-seq:H3K36me3:RWPE2
66	1	ENCFF153EIJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF153EIJ.bigWig	32	2	mean	ATAC-seq::HG03354
67	1	ENCFF233FUW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF233FUW.bigWig	32	2	mean	ATAC-seq::GM19452
68	1	ENCFF586PFT	/home/suncz/work/s02/Encode_epigenome/data/ENCFF586PFT.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
69	1	ENCFF807VJQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF807VJQ.bigWig	32	2	mean	ATAC-seq::HG03442
70	1	ENCFF539NXV	/home/suncz/work/s02/Encode_epigenome/data/ENCFF539NXV.bigWig	32	2	mean	ChIP-seq:H3K9me3:Peyer's patch
71	1	ENCFF139KGX	/home/suncz/work/s02/Encode_epigenome/data/ENCFF139KGX.bigWig	32	2	mean	ChIP-seq:H3K4me1:transverse colon
72	1	ENCFF405LNI	/home/suncz/work/s02/Encode_epigenome/data/ENCFF405LNI.bigWig	32	2	mean	ChIP-seq:H3K27ac:testis
73	1	ENCFF417OVQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF417OVQ.bigWig	32	2	mean	ChIP-seq:H3K36me3:esophagus muscularis mucosa
74	1	ENCFF005TTY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF005TTY.bigWig	32	2	mean	ChIP-seq:H3K27ac:Peyer's patch
75	1	ENCFF011RNN	/home/suncz/work/s02/Encode_epigenome/data/ENCFF011RNN.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
76	1	ENCFF848BPB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF848BPB.bigWig	32	2	mean	ChIP-seq:H3K4me3:transverse colon
77	1	ENCFF058JVR	/home/suncz/work/s02/Encode_epigenome/data/ENCFF058JVR.bigWig	32	2	mean	ChIP-seq:H3K27me3:testis
78	1	ENCFF869PEE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF869PEE.bigWig	32	2	mean	ATAC-seq::HG02981
79	1	ENCFF874URE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF874URE.bigWig	32	2	mean	ATAC-seq::GM18858
80	1	ENCFF365HEY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF365HEY.bigWig	32	2	mean	ATAC-seq::GM19025
81	1	ENCFF860TZJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF860TZJ.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
82	1	ENCFF074NHG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF074NHG.bigWig	32	2	mean	ATAC-seq::HG03066
83	1	ENCFF849QYB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF849QYB.bigWig	32	2	mean	ATAC-seq::GM19455
84	1	ENCFF412ZXR	/home/suncz/work/s02/Encode_epigenome/data/ENCFF412ZXR.bigWig	32	2	mean	ChIP-seq:H3K27ac:HAP-1
85	1	ENCFF459TMW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF459TMW.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
86	1	ENCFF437SND	/home/suncz/work/s02/Encode_epigenome/data/ENCFF437SND.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
87	1	ENCFF743WRR	/home/suncz/work/s02/Encode_epigenome/data/ENCFF743WRR.bigWig	32	2	mean	ATAC-seq::GM18517
88	1	ENCFF049DPD	/home/suncz/work/s02/Encode_epigenome/data/ENCFF049DPD.bigWig	32	2	mean	ATAC-seq::HG02870
89	1	ENCFF836SMO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF836SMO.bigWig	32	2	mean	DNase-seq::posterior cingulate gyrus
90	1	ENCFF158ZYM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF158ZYM.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
91	1	ENCFF332WET	/home/suncz/work/s02/Encode_epigenome/data/ENCFF332WET.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
92	1	ENCFF180TKJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF180TKJ.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
93	1	ENCFF561PQW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF561PQW.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
94	1	ENCFF387ALH	/home/suncz/work/s02/Encode_epigenome/data/ENCFF387ALH.bigWig	32	2	mean	ChIP-seq:H3K27me3:pancreas
95	1	ENCFF557HYU	/home/suncz/work/s02/Encode_epigenome/data/ENCFF557HYU.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
96	1	ENCFF832VNW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF832VNW.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
97	1	ENCFF883BEQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF883BEQ.bigWig	32	2	mean	ChIP-seq:H3K9me3:pancreas
98	1	ENCFF702KLV	/home/suncz/work/s02/Encode_epigenome/data/ENCFF702KLV.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
99	1	ENCFF263QKY	/home/suncz/work/s02/Encode_epigenome/data/ENCFF263QKY.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
100	1	ENCFF762SXP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF762SXP.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
101	1	ENCFF737EDS	/home/suncz/work/s02/Encode_epigenome/data/ENCFF737EDS.bigWig	32	2	mean	DNase-seq::dorsolateral prefrontal cortex
102	1	ENCFF720LRO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF720LRO.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
103	1	ENCFF097WPE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF097WPE.bigWig	32	2	mean	DNase-seq::Calu3
104	1	ENCFF664RUW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF664RUW.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
105	1	ENCFF963JJJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF963JJJ.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
106	1	ENCFF942JQM	/home/suncz/work/s02/Encode_epigenome/data/ENCFF942JQM.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
107	1	ENCFF695QYJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF695QYJ.bigWig	32	2	mean	DNase-seq::Caco-2
108	1	ENCFF918PSP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF918PSP.bigWig	32	2	mean	ChIP-seq:H3K4me1:colonic mucosa
109	1	ENCFF686ZWI	/home/suncz/work/s02/Encode_epigenome/data/ENCFF686ZWI.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
110	1	ENCFF615RGG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF615RGG.bigWig	32	2	mean	ChIP-seq:CTCF:spleen
111	1	ENCFF089TYQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF089TYQ.bigWig	32	2	mean	ChIP-seq:CTCF:adrenal gland
112	1	ENCFF429THJ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF429THJ.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
113	1	ENCFF680BLP	/home/suncz/work/s02/Encode_epigenome/data/ENCFF680BLP.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
114	1	ENCFF330SQW	/home/suncz/work/s02/Encode_epigenome/data/ENCFF330SQW.bigWig	32	2	mean	ChIP-seq:H3K36me3:colonic mucosa
115	1	ENCFF495VQK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF495VQK.bigWig	32	2	mean	ChIP-seq:H3K4me3:dorsolateral prefrontal cortex
116	1	ENCFF508NAK	/home/suncz/work/s02/Encode_epigenome/data/ENCFF508NAK.bigWig	32	2	mean	ATAC-seq::natural killer cell
117	1	ENCFF112CFB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF112CFB.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
118	1	ENCFF197EJC	/home/suncz/work/s02/Encode_epigenome/data/ENCFF197EJC.bigWig	32	2	mean	ChIP-seq:H3K9me3:spleen
119	1	ENCFF419ONB	/home/suncz/work/s02/Encode_epigenome/data/ENCFF419ONB.bigWig	32	2	mean	ChIP-seq:CTCF:dorsolateral prefrontal cortex
120	1	ENCFF959QFG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF959QFG.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
121	1	ENCFF906WWO	/home/suncz/work/s02/Encode_epigenome/data/ENCFF906WWO.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
122	1	ENCFF109TWE	/home/suncz/work/s02/Encode_epigenome/data/ENCFF109TWE.bigWig	32	2	mean	DNase-seq::head of caudate nucleus
123	1	ENCFF720KFF	/home/suncz/work/s02/Encode_epigenome/data/ENCFF720KFF.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
124	1	ENCFF309ARG	/home/suncz/work/s02/Encode_epigenome/data/ENCFF309ARG.bigWig	32	2	mean	ChIP-seq:H3K27ac:dorsolateral prefrontal cortex
125	1	ENCFF016NPV	/home/suncz/work/s02/Encode_epigenome/data/ENCFF016NPV.bigWig	32	2	mean	ChIP-seq:H3K27me3:dorsolateral prefrontal cortex
126	1	ENCFF289STQ	/home/suncz/work/s02/Encode_epigenome/data/ENCFF289STQ.bigWig	32	2	mean	ChIP-seq:H3K27me3:heart left ventricle
127	1	ENCFF574PIN	/home/suncz/work/s02/Encode_epigenome/data/ENCFF574PIN.bigWig	32	2	mean	ChIP-seq:H3K4me1:SJSA1
